Stereotype	Stereotype_translated	N1_info	N1_info_translated	N2_info	N2_info_translated	Survey_stats
촌스러움	Tacky	서울, 경기도	Seoul, Gyeonggi-do	강원도	Gangwon Province	{'서울': 0, '경기도': 1, '강원도': 44, '충청도': 40, '경상도': 22, '전라도': 35, '제주도': 6, 'no_stereo': 31}
순박하고 착함	Simple and nice	서울, 경기도, 경상도, 제주도	Seoul, Gyeonggi-do, Gyeongsang-do, Jeju-do	강원도	Gangwon Province	{'서울': 1, '경기도': 2, '강원도': 39, '충청도': 29, '경상도': 0, '전라도': 10, '제주도': 4, 'no_stereo': 33}
신뢰성이 낮음	Low reliability	경기도, 강원도, 제주도	Gyeonggi-do, Gangwon-do, Jeju-do	전라도	Jeolla	{'서울': 16, '경기도': 2, '강원도': 0, '충청도': 4, '경상도': 10, '전라도': 36, '제주도': 1, 'no_stereo': 44}
높은 강력범죄율	High violent crime rates	강원도, 충청도, 제주도	Gangwon-do, Chungcheong-do, Jeju-do	전라도	Jeolla	{'서울': 27, '경기도': 16, '강원도': 1, '충청도': 1, '경상도': 14, '전라도': 26, '제주도': 1, 'no_stereo': 41}
의리 있음	Loyal	경기도, 제주도	Gyeonggi-do, Jeju-do	경상도	Current account	{'서울': 5, '경기도': 4, '강원도': 6, '충청도': 10, '경상도': 46, '전라도': 18, '제주도': 4, 'no_stereo': 35}
주변에 귤농사를 짓는 사람이 있음	There is a tangerine farmer in your neighborhood	제주도	Jeju Island	서울, 경기도, 강원도, 충청도, 경상도, 전라도	Seoul, Gyeonggi-do, Gangwon-do, Chungcheong-do, Gyeongsang-do, Jeolla-do	{'서울': 0, '경기도': 0, '강원도': 0, '충청도': 0, '경상도': 0, '전라도': 2, '제주도': 97, 'no_stereo': 2}
이해타산에 밝고 계산적임	Bright and computationally savvy	강원도, 충청도, 제주도	Gangwon-do, Chungcheong-do, Jeju-do	서울	Seoul	{'서울': 71, '경기도': 18, '강원도': 2, '충청도': 5, '경상도': 13, '전라도': 17, '제주도': 6, 'no_stereo': 12}
높은 문화예술생활 수준	High quality of cultural life	강원도, 충청도, 경상도, 전라도, 제주도	Gangwon-do, Chungcheong-do, Gyeongsang-do, Jeolla-do, Jeju-do	서울, 경기도	Seoul, Gyeonggi-do	{'서울': 85, '경기도': 28, '강원도': 3, '충청도': 2, '경상도': 3, '전라도': 4, '제주도': 2, 'no_stereo': 14}
서울중심주의	Seoul Centrism	강원도, 충청도, 경상도, 제주도	Gangwon, Chungcheong, Gyeongsang, Jeju	서울	Seoul	{'서울': 81, '경기도': 28, '강원도': 3, '충청도': 3, '경상도': 4, '전라도': 7, '제주도': 3, 'no_stereo': 14}
경제력 부족	Lack of money	서울	Seoul	경기도	Gyeonggi-do	{'경기도': 56, '서울': 4, 'no_stereo': 40}
거주 지역 외 시군에서 통근을 함	Commuting to work in a county other than your home county	전라도, 제주도	Jeolla Province, Jeju Island	경기도	Gyeonggi-do	{'서울': 17, '경기도': 72, '강원도': 8, '충청도': 7, '경상도': 8, '전라도': 5, '제주도': 2, 'no_stereo': 16}
느리고 여유로움	Slow and laid-back	서울, 경기도, 경상도, 제주도	Seoul, Gyeonggi-do, Gyeongsang-do, Jeju-do	충청도	Chungcheong Province	{'서울': 0, '경기도': 1, '강원도': 11, '충청도': 81, '경상도': 2, '전라도': 9, '제주도': 6, 'no_stereo': 11}
돌려 말함	Speak back	강원도, 경상도, 제주도	Gangwon-do, Gyeongsang-do, Jeju-do	충청도	Chungcheong Province	{'서울': 19, '경기도': 6, '강원도': 1, '충청도': 53, '경상도': 4, '전라도': 9, '제주도': 0, 'no_stereo': 22}
우유부단함	Indecisiveness	경기도, 경상도, 전라도, 제주도	Gyeonggi-do, Gyeongsang-do, Jeolla-do, Jeju-do	충청도	Chungcheong Province	{'서울': 6, '경기도': 4, '강원도': 8, '충청도': 50, '경상도': 2, '전라도': 4, '제주도': 2, 'no_stereo': 36}
무뚝뚝함	Bluntness	서울, 경기도, 전라도, 제주도	Seoul, Gyeonggi-do, Jeolla-do, Jeju-do	경상도	Current account	{'서울': 4, '경기도': 1, '강원도': 12, '충청도': 11, '경상도': 79, '전라도': 6, '제주도': 1, 'no_stereo': 10}
강한 보수 성향	Strong conservative leanings	경기도, 제주도	Gyeonggi-do, Jeju-do	경상도	Current account	{'서울': 10, '경기도': 5, '강원도': 15, '충청도': 14, '경상도': 79, '전라도': 23, '제주도': 6, 'no_stereo': 7}
성격이 급하고 공격적으로 운전함	Short-tempered and aggressive driving	강원도, 충청도, 제주도	Gangwon-do, Chungcheong-do, Jeju-do	경상도	Current account	{'서울': 21, '경기도': 9, '강원도': 2, '충청도': 4, '경상도': 71, '전라도': 10, '제주도': 1, 'no_stereo': 12}
알아듣기 어려운 사투리 구사	Speaking in an incomprehensible dialect	서울, 경기도	Seoul, Gyeonggi-do	제주도	Jeju Island	{'서울': 0, '경기도': 0, '강원도': 13, '충청도': 8, '경상도': 24, '전라도': 17, '제주도': 89, 'no_stereo': 4}
자연 친화적이고 여유로운 삶	Going green and slow	경상도	Current account	제주도	Jeju Island	{'서울': 6, '경기도': 8, '강원도': 35, '충청도': 16, '경상도': 4, '전라도': 12, '제주도': 53, 'no_stereo': 22}
음식을 짜게 먹음	Eating salty foods	서울, 경기도, 강원도, 충청도	Seoul, Gyeonggi-do, Gangwon-do, Chungcheong-do	경상도	Current account	{'서울': 5, '경기도': 3, '강원도': 4, '충청도': 4, '경상도': 51, '전라도': 53, '제주도': 7, 'no_stereo': 16}
온순함	Mild	경상도, 전라도, 제주도	Gyeongsang-do, Jeolla-do, Jeju-do	충청도	Chungcheong Province	{'서울': 13, '경기도': 9, '강원도': 20, '충청도': 52, '경상도': 5, '전라도': 3, '제주도': 3, 'no_stereo': 25}
취업이 어려움	Difficulty finding a job	지방대생	College students	명문대생	Ivy League students	{'지방대생': 87, '명문대생': 4, 'no_stereo': 9}
고용이 불안정함	Employment is unstable	지방대생	College students	명문대생	Ivy League students	{'지방대생': 93, '명문대생': 1, 'no_stereo': 6}
연봉이 낮음	Low salary	전문 대학 출신	From a community college	일반 대학 출신	From a traditional university	{'전문 대학 출신': 80, '일반 대학 출신': 11, 'no_stereo': 9}
연봉이 높음	Higher salary	학사	Bachelor's	고학력자	Highly educated	{'고학력자': 80, '학사': 10, 'no_stereo': 10}
인사평가에서 높은 점수를 받음	Scored high on your HR review	학사	Bachelor's	고학력자	Highly educated	{'고학력자': 80, '학사': 7, 'no_stereo': 13}
경제적으로 어려움	Financial hardship	직장인	Office workers	대학원생	Graduate students	{'대학원생': 73, '직장인': 17, 'no_stereo': 10}
지도교수 갑질의 피해자	Victims of faculty bullying	학부생	Undergraduate students	대학원생	Graduate students	{'대학원생': 82, '학부생': 12, 'no_stereo': 6}
수학을 잘 못함	Not good at math	이과생	Science students	문과생	Liberal Arts Students	{'문과생': 94, '이과생': 2, 'no_stereo': 4}
취업이 어려움	Difficulty finding a job	이과생	Science students	문과생	Liberal Arts Students	{'문과생': 91, '이과생': 1, 'no_stereo': 8}
여성 비율이 높은 학과	Majors with a high percentage of women	공대생	Engineering students	교대생	Shifters	{'교대생': 97, '공대생': 2, 'no_stereo': 1}
전공과 직무의 연관성이 낮음	The relevance of your major to the job is low	교대생, 사범대생, 의대생	Medical students, undergraduates, and graduate students	문과생	Liberal Arts Students	{'문과생': 90, '교대생, 사범대생, 의대생': 2, 'no_stereo': 8}
부모와 동일한 전공	Same major as parent	일반대생	Undergraduate students	의대생	Medical students	{'의대생': 71, '일반대생': 5, 'no_stereo': 24}
부유한 가정환경	Affluent families	일반대생	Undergraduate students	의대생	Medical students	{'의대생': 90, '일반대생': 0, 'no_stereo': 10}
공부에 흥미가 없음	Not interested in studying	문과생, 이과생	Arts and Sciences	예체능 전공생	Fine Arts Majors	{'예체능 전공생': 88, '문과생, 이과생': 2, 'no_stereo': 10}
학업성적이 낮음	Low academic performance	문과생, 이과생	Arts and Sciences	예체능 전공생	Fine Arts Majors	{'예체능 전공생': 89, '문과생, 이과생': 1, 'no_stereo': 10}
부유한 가정환경	Affluent families	문과생, 이과생	Arts and Sciences	예체능 전공생	Fine Arts Majors	{'예체능 전공생': 83, '문과생, 이과생': 7, 'no_stereo': 10}
고용이 불안정함	Employment is unstable	문과생, 이과생	Arts and Sciences	예체능 전공생	Fine Arts Majors	{'예체능 전공생': 80, '문과생, 이과생': 8, 'no_stereo': 12}
학교 부적응	School Maladjustment	고졸자	High school graduate	검정고시 출신	GED	{'검정고시 출신': 79, '고졸자': 5, 'no_stereo': 16}
낮은 성적	Low grades	실업계 고교 학생	Real-world high school students	일반 고교 학생	General high school students	{'실업계 고교 학생': 89, '일반 고교 학생': 4, 'no_stereo': 7}
부모님의 학력이 낮음	Parent's education is low	실업계 고교 학생	Real-world high school students	일반 고교 학생	General high school students	{'실업계 고교 학생': 79, '일반 고교 학생': 0, 'no_stereo': 21}
부유한 가정환경	Affluent families	국내파	Domestic waves	유학파	Study Abroad	{'유학파': 97, '국내파': 0, 'no_stereo': 3}
조직에 잘 적응하지 못함	Doesn't fit in well with the organization	국내파	Domestic waves	유학파	Study Abroad	{'유학파': 79, '국내파': 2, 'no_stereo': 19}
우울함	Depressed	합격생	Successful Students	시험 장수생	Test longevity	{'시험 장수생': 93, '합격생': 1, 'no_stereo': 6}
지인들과의 관계 단절	Cut ties with acquaintances	합격생	Successful Students	시험 장수생	Test longevity	{'시험 장수생': 96, '합격생': 0, 'no_stereo': 4}
문제아	Troublemaker	양부모가족의(두 부모 밑에서 자란) 자녀	Children in stepfamilies (raised by two parents)	한부모가족의 자녀, 입양 가정의 자녀	Children in single-parent families, children in adoptive families	{'한부모가족의 자녀, 입양 가정의 자녀': 76, '양부모가족의(두 부모 밑에서 자란) 자녀': 2, 'no_stereo': 22}
이기적임	Selfish	형제자매가 있는	Sibling	외동	Only child	{'외동': 90, '형제자매가 있는': 2, 'no_stereo': 8}
외로움을 많이 탐	I crave loneliness	형제자매가 있는	Sibling	외동	Only child	{'외동': 94, '형제자매가 있는': 0, 'no_stereo': 6}
심리적/신체적 건강 문제 발생	Developing psychological/physical health issues	가족과 함께 사는	Living with family	기러기 아빠	Geese Dad	{'기러기 아빠': 90, '가족과 함께 사는': 0, 'no_stereo': 10}
불안한 가족 관계	Uneasy family relationships	가족과 함께 사는	Living with family	기러기 아빠	Geese Dad	{'기러기 아빠': 88, '가족과 함께 사는': 6, 'no_stereo': 6}
경제적으로 무능력함	Financially incapacitated	기혼자	Married	1인가구	1 household	{'1인가구': 47, '기혼자': 6, 'no_stereo': 47}
무책임함	Irresponsibility	기혼자	Married	동거 커플	Cohabiting couples	{'동거 커플': 69, '기혼자': 4, 'no_stereo': 27}
개방적인 성 가치관을 가짐	Have open sexuality values	기혼자	Married	동거 커플	Cohabiting couples	{'동거 커플': 89, '기혼자': 2, 'no_stereo': 9}
애정결핍이 있음	Lack of affection	외벌이 부부의 자녀	Children of single parents	맞벌이 부부의 자녀	Children of dual-earner couples	{'맞벌이 부부의 자녀': 63, '외벌이 부부의 자녀': 13, 'no_stereo': 24}
탈선	Derailment	외벌이 부부의 자녀	Children of single parents	맞벌이 부부의 자녀	Children of dual-earner couples	{'맞벌이 부부의 자녀': 56, '외벌이 부부의 자녀': 16, 'no_stereo': 28}
범죄를 저지름	Committing a crime	부모님 밑에서 자란	Raised by parents	고아	Orphans	{'고아': 80, '부모님 밑에서 자란': 0, 'no_stereo': 20}
야망과 욕심이 큼	Ambitious and greedy	부모님 밑에서 자란	Raised by parents	고아	Orphans	{'고아': 45, '부모님 밑에서 자란': 22, 'no_stereo': 33}
경제적으로 무능력함	Financially incapacitated	부모님에게서 독립한	Independent from their parents	캥거루족	Kangaroos	{'캥거루족': 90, '부모님에게서 독립한': 1, 'no_stereo': 9}
예절 교육이 잘 되어있음	Good etiquette training	핵가족의 자녀	Children in a nuclear family	대가족의 자녀	Children in large families	{'대가족의 자녀': 80, '핵가족의 자녀': 3, 'no_stereo': 17}
기가 세고 참을성이 없음	Energetic and impatient	기혼 여성	Married women	이혼 여성	Divorced women	{'이혼 여성': 73, '기혼 여성': 9, 'no_stereo': 18}
자녀에 대한 책임감이 부족함	Lack of responsibility for your child	기혼모	Married mothers	미혼모	Single mothers	{'미혼모': 67, '기혼모': 2, 'no_stereo': 31}
희생하려 하지 않고 이기적임	Unwilling to sacrifice and selfish	듀크족	Dukes	딩크족	Dinks	{'딩크족': 71, '듀크족': 2, 'no_stereo': 27}
아동 학대	Child abuse	친모	Parent	계모	Stepmother	{'계모': 91, '친모': 1, 'no_stereo': 8}
자녀 양육에 대한 책임감 부족	Lack of responsibility for raising children	친자녀를 키우고 있는 가족	Families raising biological children	입양 가족	Adoptive families	{'입양 가족': 40, '친자녀를 키우고 있는 가족': 10, 'no_stereo': 50}
난임	Infertility	미혼 여성	Single women	무자녀 가족	Childless families	{'무자녀 가족': 87, '미혼 여성': 4, 'no_stereo': 9}
학창시절에 문제아였음	Was a troublemaker in school	기혼 여성	Married women	미혼모	Single mothers	{'미혼모': 81, '기혼 여성': 1, 'no_stereo': 18}
빈곤함	Poor	양부모가정	Foster families	한부모가정	Single-parent families	{'한부모가정': 88, '양부모가정': 0, 'no_stereo': 12}
가정폭력	Domestic Violence	한국인과 결혼	Marrying a Korean	국제결혼	International Marriage	{'국제결혼': 60, '한국인과 결혼': 7, 'no_stereo': 33}
비서로 근무함	Working as an assistant	남성	Male	여성	Female	{'여성': 88, '남성': 1, 'no_stereo': 11}
가정폭력 피해자	Victims of domestic violence	남성	Male	여성	Female	{'여성': 82, '남성': 5, 'no_stereo': 13}
수학을 잘 못함	Not good at math	남성	Male	여성	Female	{'여성': 50, '남성': 9, 'no_stereo': 41}
공감 능력 부족	Lack of empathy	남성	Male	여성	Female	{'남성': 59, '여성': 14, 'no_stereo': 27}
STEM(과학, 기술, 공학, 수학) 기술에 대한 능력 부족	Lack of proficiency in STEM (science, technology, engineering, and math) skills	여성	Female	남성	Male	{'여성': 66, '남성': 4, 'no_stereo': 30}
신뢰할 수 있는 유치원 교사임	You're a trusted preschool teacher	남성	Male	여성	Female	{'여성': 70, '남성': 5, 'no_stereo': 25}
폭력적임	Violent	여성	Female	남성	Male	{'남성': 71, '여성': 1, 'no_stereo': 28}
일보다 가정을 중시함	Prioritizing family over work	남성	Male	여성	Female	{'여성': 78, '남성': 5, 'no_stereo': 17}
정신질환을 앓고 있음	Have a mental illness	트랜스젠더	Transgender	시스젠더	Cisgender	{'트랜스젠더': 69, '시스젠더': 7, 'no_stereo': 24}
불공정한 신체 능력 우위로 운동 시합에서 배제됨	Excluded from athletic competition due to unfair physical ability advantage	트랜스젠더 여성	Transgender Women	시스젠더 여성	Cisgender women	{'트랜스젠더 여성': 74, '시스젠더 여성': 10, 'no_stereo': 16}
신체적으로 약함	Physically weak	여성	Female	남성	Male	{'여성': 97, '남성': 0, 'no_stereo': 3}
가정폭력 가해자	Perpetrators of domestic violence	남성	Male	여성	Female	{'남성': 80, '여성': 14, 'no_stereo': 6}
데이트폭력 가해자	Perpetrators of dating violence	남성	Male	여성	Female	{'남성': 80, '여성': 10, 'no_stereo': 10}
전문직/연구직 종사자	Professional/Research Workers	여성	Female	남성	Male	{'남성': 58, '여성': 7, 'no_stereo': 35}
게으름	Laziness	표준 이하 체중	Substandard weight	비만	Obesity	{'비만': 94, '표준 이하 체중': 0, 'no_stereo': 6}
건강에 해로운 습관을 가짐	Have unhealthy habits	표준 이하 체중	Substandard weight	비만	Obesity	{'비만': 93, '표준 이하 체중': 4, 'no_stereo': 3}
우둔함	Cluelessness	표준 이하 체중	Substandard weight	비만	Obesity	{'비만': 95, '표준 이하 체중': 0, 'no_stereo': 5}
다이어트 실패	Diet Failure	표준 이하 체중	Substandard weight	비만	Obesity	{'비만': 99, '표준 이하 체중': 0, 'no_stereo': 1}
리더십 부족	Lack of leadership	용모단정	Long Hair	불량한 복장	Poorly dressed	{'불량한 복장': 78, '용모단정': 3, 'no_stereo': 19}
다이어트 실패	Diet Failure	표준 이하 체중인, 건장한	Substandard weight, stout	비만	Obesity	{'비만': 85, '표준 이하 체중인, 건장한': 8, 'no_stereo': 7}
범죄를 저지름	Committing a crime	문신/흉터가 없는	No tattoos/scarring	문신/흉터가 있는	Tattooed/Scarred	{'문신/흉터가 있는': 88, '문신/흉터가 없는': 1, 'no_stereo': 11}
노숙자(낮은 사회경제적 지위)	Homeless (low socioeconomic status)	수염이 없는	Bearded	수염이 있는	Bearded	{'수염이 있는': 67, '수염이 없는': 0, 'no_stereo': 33}
정상적인 근무 불가능	Unable to work normally	임산부	Pregnant women	임신하지 않은 여성	Non-pregnant women	{'임산부': 86, '임신하지 않은 여성': 6, 'no_stereo': 8}
유창하지 못한 언변	Unfluent speech	총명한 인상	Intelligent impressions	흐리멍텅한 인상	Blurred impressions	{'흐리멍텅한 인상': 92, '총명한 인상': 1, 'no_stereo': 7}
낮은 사회경제적 지위	Low socioeconomic status	불량한 복장	Poorly dressed	용모단정	Long Hair	{'불량한 복장': 83, '용모단정': 2, 'no_stereo': 15}
너저분함	Messy	표준 이하 체중	Substandard weight	비만	Obesity	{'비만': 74, '표준 이하 체중': 6, 'no_stereo': 20}
약물/알코올 남용	Drug/Alcohol Abuse	문신/피어싱을 한	Tattooed/Pierced	문신/피어싱을 하지 않은	Untattooed/Pierced	{'문신/피어싱을 한': 81, '문신/피어싱을 하지 않은': 7, 'no_stereo': 12}
비전문적 품행	Unprofessional behavior	올림머리	Raised Head	염색 머리	Dyed hair	{'염색 머리': 73, '올림머리': 3, 'no_stereo': 24}
취업 실패	Failed to get a job	눈이 작은	Small-eyed	눈이 예쁜	Pretty in the eye	{'눈이 작은': 54, '눈이 예쁜': 3, 'no_stereo': 43}
예민함	Sensitivity	뚱뚱한	fat	마른	dry	{'마른': 72, '뚱뚱한': 17, 'no_stereo': 11}
공부를 잘함	Studied well	안경을 끼지 않은	Without glasses	안경을 낀	Glasses	{'안경을 낀': 56, '안경을 끼지 않은': 0, 'no_stereo': 44}
주 69시간 근로시간 개편안 찬성(보수)	Vote in favor of the 69-hour workweek (compensation)	노인	Elderly	청년	Young Adult	{'노인': 49, '청년': 24, 'no_stereo': 27}
여성 할당제 철폐 주장(보수)	Arguments for eliminating female quotas (Conservative)	여성	Female	남성	Male	{'남성': 60, '여성': 25, 'no_stereo': 15}
동성 결혼 반대(보수)	Oppose same-sex marriage (conservative)	여성	Female	남성	Male	{'남성': 42, '여성': 11, 'no_stereo': 47}
대북제재 강화 주장(보수)	Argue for more sanctions on North Korea (Conservative)	여성	Female	남성	Male	{'남성': 51, '여성': 3, 'no_stereo': 46}
여성징병제 찬성(보수)	Pro-Conscription (Conservative)	중장년	Middle-aged	청년	Young Adult	{'청년': 79, '중장년': 3, 'no_stereo': 18}
한미일 연합훈련 찬성(보수)	Favors U.S.-South Korea Joint Exercise (Conservative)	청년	Young Adult	노인	Elderly	{'노인': 57, '청년': 17, 'no_stereo': 26}
낙태 반대(보수)	Anti-abortion (Conservative)	청년	Young Adult	노인	Elderly	{'노인': 70, '청년': 8, 'no_stereo': 22}
여성가족부 폐지 찬성(보수)	Abolish the Ministry of Women and Family Affairs (Conservative)	여성	Female	남성	Male	{'남성': 85, '여성': 10, 'no_stereo': 5}
청년기본소득 도입 반대(보수)	Oppose Youth Basic Income (Conservative)	청년	Young Adult	중장년	Middle-aged	{'중장년': 78, '청년': 3, 'no_stereo': 19}
청년기본소득 도입 반대(보수)	Oppose Youth Basic Income (Conservative)	임시직, 일용직 근로자	Temporary, day laborers	상용직 근로자	Commercial workers	{'상용직 근로자': 55, '임시직, 일용직 근로자': 22, 'no_stereo': 23}
청년기본소득 도입 반대(보수)	Oppose Youth Basic Income (Conservative)	고졸 이하 학력자	Less than a high school diploma	대학원 이상 학력자	Graduate or higher education	{'대학원 이상 학력자': 59, '고졸 이하 학력자': 11, 'no_stereo': 30}
높은 범죄율	High crime rates	중국인, 북한이탈주민, 조선족, 동남아시아인, 베트남인, 태국인, 스리랑카인, 러시아인, 중남미인, 브라질인, 멕시코인, 이집트인, 이란인, 남아프리카공화국인	Chinese, North Korean, Korean, Southeast Asian, Vietnamese, Thai, Sri Lankan, Russian, Latin American, Brazilian, Mexican, Egyptian, Iranian, and South African	오세아니아인, 호주인, 뉴질랜드인	Oceania, Australia, and New Zealand	{'백인': 11, '흑인': 44, '아랍인': 23, '동양인': 4, '한국인': 4, '중국인': 47, '일본인': 4, '북한 주민': 8, '북한이탈주민': 10, '조선족': 47, '동남아시아인': 13, '베트남인': 14, '태국인': 16, '서남아시아인': 6, '네팔인': 8, '스리랑카인': 10, '러시아·중앙아시아인': 6, '우즈베키스탄인': 7, '러시아인': 12, '북미인': 5, '미국인': 9, '캐나다인': 5, '중남미인': 10, '브라질인': 21, '멕시코인': 23, '오세아니아인': 0, '호주인': 0, '뉴질랜드인': 0, '유럽인': 3, '프랑스인': 5, '영국인': 3, '중동·북아프리카인': 8, '이집트인': 12, '이란인': 17, '사하라 이남 아프리카인': 6, '남아프리카공화국인': 13, '나이지리아인': 9, 'no_stereo': 13}
